"id" "sex" "education" "visibleMino" "yearsInQc" "program" "preTest" "postTest" "salaryPre" "salaryPost" "attitudeFr1" "attitudeFr2" "attitudeFr3" "attitudeFr4"
"1" "p1" "female" 6 "yes" 1.8 "immersion" 71 100 12316 17499 5 3 5 5
"2" "p2" "male" 12 "no" 7.1 "immersion" 36 65 47566 53258 3 3 2 4
"3" "p3" "female" 9 "no" 4.2 "immersion" 34 72 31243 37207 4 5 6 5
"4" "p4" "male" 17 "yes" 3.7 "immersion" 42 76 36393 42877 4 4 4 4
"5" "p5" "female" 6 "no" 6.5 "immersion" 65 100 30489 36571 5 4 6 4
"6" "p6" "male" 10 "no" 6.2 "immersion" 55 89 35825 41817 4 3 4 3
"7" "p7" "female" 6 "yes" 8.5 "immersion" 61 93 11537 16864 5 6 5 5
"8" "p8" "male" 11 "no" 4.3 "immersion" 43 75 34266 39730 4 5 4 4
"9" "p9" "female" 7 "no" 1.3 "immersion" 67 100 25426 31435 5 4 5 4
"10" "p10" "male" 19 "yes" 7.3 "immersion" 25 65 37333 43975 3 3 3 3
"11" "p11" "female" 10 NA NA "immersion" 53 87 39787 46406 4 5 2 NA
"12" "p12" "male" 11 "no" 0.6 "immersion" 51 86 31627 37763 4 5 4 4
"13" "p13" NA 7 "yes" NA "immersion" NA NA 20606 26289 4 4 5 3
"14" "p14" "male" 6 "no" 5.5 "immersion" 60 91 29524 36314 5 5 6 4
"15" "p15" "female" 7 "no" 4.3 "immersion" 75 100 33166 37942 5 3 5 5
"16" "p16" "male" 17 "yes" 8.3 "immersion" 51 84 48864 54314 4 5 4 3
"17" "p17" NA 15 "no" NA "immersion" NA NA 41291 47914 4 5 4 4
"18" "p18" "male" 6 "no" 5.1 "immersion" 42 74 37896 43590 4 4 3 4
"19" "p19" "female" 6 "yes" 2.6 "immersion" 40 68 22428 29410 3 3 4 2
"20" "p20" "male" 6 "no" 4.5 "immersion" 53 82 30245 35973 4 4 4 4
"21" "p21" "female" 8 "no" 5.7 "immersion" 71 100 27703 33493 5 5 4 5
"22" "p22" "male" 6 "yes" 6.3 "immersion" 65 93 30007 36477 5 6 6 5
"23" "p23" "female" 10 "no" 4.4 "immersion" 40 80 27977 34507 4 4 4 5
"24" "p24" "male" 16 "no" 6.6 "immersion" 52 90 44234 50195 4 4 5 4
"25" "p25" "female" 8 "yes" 2.7 "immersion" 30 67 22043 28860 3 4 4 4
"26" "p26" "male" 14 "no" 4.6 "immersion" 40 72 35057 40525 4 4 3 3
"27" "p27" "female" 9 "no" 2.9 "immersion" 28 62 31573 37575 3 2 4 3
"28" "p28" "male" 15 "yes" 6.5 "immersion" 52 89 45306 51186 4 2 4 2
"29" "p29" "female" 10 "no" 0.8 "immersion" 41 72 27440 33024 4 4 4 4
"30" "p30" "male" 11 "no" 5 "immersion" 23 58 47630 53819 3 3 3 3
"31" "p31" "female" 14 "yes" 7.7 "immersion" 56 86 40910 48063 4 4 4 4
"32" "p32" "male" 14 "no" 7.8 "immersion" 55 90 53300 59622 4 4 4 2
"33" "p33" "female" 18 "no" 4.8 "immersion" 42 70 48573 54943 4 4 4 6
"34" "p34" "male" 11 "yes" 4.8 "immersion" 56 81 45141 51028 4 3 3 4
"35" "p35" "female" 12 "no" 6.6 "immersion" 51 86 35754 41676 4 5 3 5
"36" "p36" NA 15 "no" NA "immersion" NA NA 43301 48965 4 5 3 3
"37" "p37" "female" 11 "yes" 6.3 "immersion" 49 81 29416 35917 4 4 3 5
